displayName,leaderboardPosition,total,cut,bonus
Brice Garnett,CUT,14,0,0
Henrik Norlander,T45,29,3,0
Joseph Bramlett,T39,29,3,0
Joel Dahmen,CUT,13,0,0
Beau Hossler,T65,19,3,0
Victor Perez,T60,23,3,0
Patrick Rodgers,T15,37,3,0
Michael Thorbjornsen,T33,34,3,0
Matt Wallace,WD,0,0,0
Ryan Gerard,CUT,11,0,0
Ben Griffin,CUT,12,0,0
Rasmus Højgaard,48,29,3,0
Sungjae Im,T33,35,3,0
Stephan Jaeger,T56,24,3,0
Si Woo Kim,T15,37,3,0
Sam Stevens,3,46,3,3
Erik van Rooyen,2,57,3,5
Mason Andersen,CUT,4,0,0
Frankie Capan III,CUT,4,0,0
Cameron Champ,T15,35,3,0
Will Chandler,CUT,9,0,0
Vince Covello,CUT,0,0,0
Quade Cummins,CUT,9,0,0
Taylor Dickson,T29,36,3,0
Will Gordon,T5,40,3,0
Chris Gotterup,T15,36,3,0
Emiliano Grillo,CUT,12,0,0
Chesson Hadley,CUT,11,0,0
James Hahn,CUT,6,0,0
Harry Hall,T33,33,3,0
Lee Hodges,CUT,14,0,0
Rico Hoey,T52,28,3,0
Charley Hoffman,CUT,13,0,0
Nicolai Højgaard,T56,24,3,0
Rikuya Hoshino,T39,33,3,0
Mackenzie Hughes,CUT,12,0,0
Sung Kang,CUT,5,0,0
Chan Kim,CUT,0,0,0
Kris Kim,CUT,-5,0,0
Tom Kim,CUT,15,0,0
Kurt Kitayama,T5,40,3,0
Patton Kizzire,T49,26,3,0
Jake Knapp,T39,32,3,0
Philip Knowles,CUT,2,0,0
Ben Kohles,T52,23,3,0
Martin Laird,CUT,13,0,0
Nate Lashley,T39,32,3,0
Nelson Ledesma,CUT,-1,0,0
Luke List,CUT,10,0,0
Matteo Manassero,T45,25,3,0
Bobby Massa,CUT,9,0,0
Brandon Matthews,64,27,3,0
Taylor Moore,CUT,1,0,0
Tommy Morrison,CUT,5,0,0
William Mouw,CUT,8,0,0
Matt NeSmith,CUT,3,0,0
Kaito Onishi,CUT,11,0,0
Ryan Palmer,CUT,10,0,0
Chandler Phillips,T15,36,3,0
Seamus Power,CUT,12,0,0
Andrew Putnam,T15,37,3,0
Chez Reavie,CUT,3,0,0
Matthew Riedel,CUT,0,0,0
Davis Riley,T45,33,3,0
Kevin Roy,T15,33,3,0
Antoine Rozner,T13,39,3,0
Isaiah Salinda,T56,22,3,0
Webb Simpson,T49,28,3,0
David Skinns,T52,29,3,0
Alex Smalley,T39,34,3,0
Jesper Svensson,CUT,10,0,0
Braden Thornberry,CUT,8,0,0
Sami Valimaki,T39,33,3,0
Kevin Velo,CUT,9,0,0
Kris Ventura,CUT,8,0,0
Karl Vilips,T49,26,3,0
Camilo Villegas,T67,15,3,0
Danny Walker,T25,39,3,0
Nick Watney,CUT,10,0,0
Tim Widing,CUT,7,0,0
Norman Xiong,CUT,14,0,0
Harry Higgs,CUT,1,0,0
Max McGreevy,T15,38,3,0
Niklas Norgaard,T33,32,3,0
Scottie Scheffler,1,69,3,10
Adam Schenk,T5,40,3,0
Byeong Hun An,T60,22,3,0
Jacob Bridgeman,CUT,9,0,0
Sam Burns,T5,41,3,0
Brian Campbell,CUT,9,0,0
Eric Cole,T5,43,3,0
Cam Davis,T60,28,3,0
Austin Eckroat,CUT,10,0,0
Taylor Pendrith,CUT,10,0,0
Jordan Spieth,4,45,3,0
Anders Albertson,CUT,3,0,0
Aaron Baddeley,CUT,10,0,0
Zac Blair,CUT,5,0,0
Hayden Buckley,CUT,7,0,0
Rafael Campos,T67,16,3,0
Ricky Castillo,T5,42,3,0
Seungbin Choi,CUT,2,0,0
Trevor Cone,CUT,11,0,0
Pierceson Coody,T25,34,3,0
Trace Crowe,CUT,16,0,0
Cristobal Del Solar,CUT,12,0,0
Nico Echavarria,T25,38,3,0
Harrison Endycott,CUT,2,0,0
Patrick Fishburn,CUT,13,0,0
Ryan Fox,T60,23,3,0
Doug Ghim,T33,34,3,0
Noah Goodwin,CUT,3,0,0
Lanto Griffin,CUT,11,0,0
Scott Gutschewski,CUT,9,0,0
Nick Hardy,CUT,17,0,0
Ryo Hisatsune,CUT,6,0,0
Mark Hubbard,T5,39,3,0
Zach Johnson,CUT,6,0,0
Takumi Kanaya,T5,39,3,0
Noah Kent,CUT,0,0,0
Kevin Kisner,CUT,8,0,0
Matt Kuchar,T56,21,3,0
Christo Lamprecht,CUT,0,0,0
David Lipsky,CUT,9,0,0
Justin Lower,CUT,15,0,0
Peter Malnati,CUT,-9,0,0
Ben Martin,T33,32,3,0
Matt McCarty,T15,41,3,0
Mac Meissner,T65,18,3,0
Francesco Molinari,CUT,10,0,0
Taylor Montgomery,CUT,14,0,0
Trey Mullinax,T29,35,3,0
Thorbjørn Olesen,T29,34,3,0
John Pak,70,10,3,0
Jeremy Paul,CUT,12,0,0
Paul Peterson,CUT,10,0,0
Aldrich Potgieter,CUT,7,0,0
Chad Ramey,CUT,3,0,0
Gabe Reynolds,CUT,0,0,0
Thomas Rosenmueller,T52,20,3,0
Sam Ryder,CUT,16,0,0
Matti Schmid,CUT,8,0,0
Greyson Sigg,CUT,6,0,0
Ben Silverman,CUT,4,0,0
Hayden Springer,CUT,10,0,0
Ross Steelman,T25,40,3,0
Jackson Suber,CUT,1,0,0
Adam Svensson,CUT,11,0,0
Alejandro Tosti,T67,19,3,0
Kevin Tway,CUT,11,0,0
Jhonattan Vegas,T13,41,3,0
Paul Waring,CUT,12,0,0
Vince Whaley,T15,35,3,0
Dylan Wu,CUT,7,0,0
Carson Young,CUT,11,0,0
Kevin Yu,T29,35,3,0
